      Step     Time          Energy          fmax
BFGS:    0 17:48:06     -220.899399        0.020356
BFGS:    1 17:48:07     -220.899368        0.038000
BFGS:    2 17:48:08     -220.899383        0.038136
BFGS:    3 17:48:09     -220.899383        0.070454
BFGS:    4 17:48:10     -220.899551        0.042243
BFGS:    5 17:48:11     -220.899567        0.038536
BFGS:    6 17:48:12     -220.899704        0.041539
BFGS:    7 17:48:12     -220.899765        0.029858
BFGS:    8 17:48:13     -220.899841        0.035631
BFGS:    9 17:48:14     -220.899796        0.054268
BFGS:   10 17:48:15     -220.899902        0.026401
BFGS:   11 17:48:16     -220.899887        0.043084
BFGS:   12 17:48:17     -220.899948        0.028458
BFGS:   13 17:48:18     -220.900024        0.060732
BFGS:   14 17:48:19     -220.900085        0.027132
BFGS:   15 17:48:19     -220.900116        0.038835
BFGS:   16 17:48:20     -220.900101        0.051607
BFGS:   17 17:48:21     -220.900131        0.067727
BFGS:   18 17:48:22     -220.900269        0.032560
BFGS:   19 17:48:23     -220.900253        0.047853
BFGS:   20 17:48:24     -220.900299        0.039008
BFGS:   21 17:48:25     -220.900360        0.044998
BFGS:   22 17:48:26     -220.900360        0.053176
BFGS:   23 17:48:27     -220.900452        0.028655
BFGS:   24 17:48:27     -220.900436        0.057219
BFGS:   25 17:48:28     -220.900635        0.029863
BFGS:   26 17:48:29     -220.900620        0.052075
BFGS:   27 17:48:30     -220.900757        0.038792
BFGS:   28 17:48:31     -220.900543        0.110450
BFGS:   29 17:48:32     -220.900833        0.037820
BFGS:   30 17:48:33     -220.900986        0.051126
