system,variant,seed,device,best_energy,n_minima,force_evaluations,energy_evaluations,duplicate_rate,bias_steps,reference_dimer_steps,reference_dimer_converged,direct_qp_steps,direct_qp_rejected,wall_time_s,summary_path
c60,reference_original,0,cuda,-488.7152099609375,38,133317,0,0.0,40,40,0,0,0,2517.633882045746,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_reference_original_seed0_trials40_cuda/summary.json
c60,reference_original,1,cuda,-488.68365478515625,36,120691,0,0.0,40,40,0,0,0,2222.342240333557,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_reference_original_seed1_trials40_cuda/summary.json
c60,reference_original,2,cuda,-482.1583251953125,40,136838,0,0.0,40,40,0,0,0,2761.967017173767,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_reference_original_seed2_trials40_cuda/summary.json
c60,paw_current_bias_relax,0,cuda,-504.1820983886719,32,22849,22849,0.21951219512195122,181,0,0,0,0,436.22640109062195,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_current_bias_relax_seed0_trials40_cuda/ssw_summary.json
c60,paw_current_bias_relax,1,cuda,-498.50433349609375,37,23104,23104,0.0975609756097561,189,0,0,0,0,609.7367157936096,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_current_bias_relax_seed1_trials40_cuda/ssw_summary.json
c60,paw_current_bias_relax,2,cuda,-496.8544616699219,37,18553,18553,0.0975609756097561,180,0,0,0,0,649.3982322216034,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_current_bias_relax_seed2_trials40_cuda/ssw_summary.json
c60,paw_metropolis_pool_bias_relax,0,cuda,-496.5821228027344,28,18977,18977,0.3170731707317073,166,0,0,0,0,615.5756452083588,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_metropolis_pool_bias_relax_seed0_trials40_cuda/ssw_summary.json
c60,paw_metropolis_pool_bias_relax,1,cuda,-501.4953918457031,35,22420,22420,0.14634146341463414,199,0,0,0,0,791.9661853313446,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_metropolis_pool_bias_relax_seed1_trials40_cuda/ssw_summary.json
c60,paw_metropolis_pool_bias_relax,2,cuda,-492.0892639160156,34,21391,21391,0.17073170731707318,183,0,0,0,0,580.4667990207672,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_metropolis_pool_bias_relax_seed2_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_bias_relax,0,cuda,-490.00421142578125,19,14242,14242,0.5365853658536586,146,146,0,0,0,391.06996178627014,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_reference_dimer_bias_relax_seed0_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_bias_relax,1,cuda,-499.2615661621094,17,13778,13778,0.5853658536585366,138,138,0,0,0,369.76497769355774,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_reference_dimer_bias_relax_seed1_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_bias_relax,2,cuda,-492.3975524902344,18,14382,14382,0.5609756097560976,149,149,0,0,0,394.21944189071655,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_reference_dimer_bias_relax_seed2_trials40_cuda/ssw_summary.json
c60,paw_ucb_pool_no_momentum_bias_relax,0,cuda,-499.2750244140625,28,18681,18681,0.3,157,0,0,0,0,454.7124855518341,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_pool_no_momentum_bias_relax_seed0_trials40_cuda/ssw_summary.json
c60,paw_ucb_pool_no_momentum_bias_relax,1,cuda,-494.8916931152344,24,20104,20104,0.4146341463414634,169,0,0,0,0,385.93518257141113,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_pool_no_momentum_bias_relax_seed1_trials40_cuda/ssw_summary.json
c60,paw_ucb_pool_no_momentum_bias_relax,2,cuda,-491.4854736328125,24,16346,16346,0.4146341463414634,129,0,0,0,0,317.0094175338745,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_pool_no_momentum_bias_relax_seed2_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_direct_qp_adaptive50,0,cuda,-474.66912841796875,1,14483,14483,0.975609756097561,0,320,0,320,0,264.961612701416,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_reference_dimer_direct_qp_adaptive50_seed0_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_direct_qp_adaptive50,1,cuda,-474.6699523925781,3,14426,14426,0.926829268292683,0,320,0,320,0,271.9178304672241,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_reference_dimer_direct_qp_adaptive50_seed1_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_direct_qp_adaptive50,2,cuda,-474.6696472167969,2,14512,14512,0.9512195121951219,0,320,0,320,0,283.71018385887146,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-component-ablation/output/c60_paw_ucb_reference_dimer_direct_qp_adaptive50_seed2_trials40_cuda/ssw_summary.json
