alignment_eta,alignment_n0,basis_size,bias_strength,candidate_count,converged,curvature_biased,curvature_force_signed,dot_initial,effective_ritz_value,energy_delta_step_0p05,energy_delta_step_0p1,energy_delta_step_0p2,fallback_used,force_projection,hvp_count,kind,label,method,micro_energy_delta_step_0p05,micro_energy_delta_step_0p1,micro_energy_delta_step_0p2,micro_remaining_fraction_step_0p05,micro_remaining_fraction_step_0p1,micro_remaining_fraction_step_0p2,overlap_lanczos32,overlap_scored_selected,penalty_alpha,rayleigh,ritz_value,rotations,score,seed_kind,seed_label,seed_rayleigh,selected_ritz_index,selected_ritz_value,system
,,8,,,,,,,,0.0250244140625,0.0460205078125,0.085296630859375,,-0.561950598784901,8,,m8,lanczos,6495.581848144531,864.5043029785156,412.8300476074219,473.0700577242351,304.50665899420676,186.99010720821073,0.8103146602043778,0.007027805606656392,,-2.7306024345702418,-2.7347043537214115,,,,,,,,c60
,,16,,,,,,,,0.030426025390625,0.051849365234375,0.08819580078125,,-0.7314966700515861,16,,m16,lanczos,1504.4815063476562,1768.1788940429688,1609.0222778320312,318.79975302704656,154.9042118344844,73.01365362920862,0.9988530528900239,0.00044016552868124013,,-5.651325269470584,-5.648577563197109,,,,,,,,c60
,,32,,,,,,,,0.03057861328125,0.0521240234375,0.088531494140625,,-0.7369294430566375,32,,m32,lanczos,1147.9197082519531,1081.3536376953125,870.1115112304688,326.21356771372143,162.0256181345417,79.60075417717383,1.0000000000000002,0.00107580498009302,,-5.67005447151631,-5.671250969807681,,,,,,,,c60
,,,,,,,,,,0.056640625,0.19769287109375,0.712615966796875,,-0.25437438891352104,1,bond,bond_0,pool_candidate,159.90505981445312,201.85418701171875,398.0207824707031,941.5258652441079,357.49454275471345,277.36328156712324,0.001066830679883847,9.829596991257419e-35,,35.69042805117441,,,,,,,,,c60
,,,,,,,,,,0.041290283203125,0.14190673828125,0.5125732421875,,-0.22578882574049397,1,bond,bond_1,pool_candidate,1216.6387329101562,1509.8059692382812,483.67578887939453,219.04047344147003,151.74903671341906,913.9539323804428,0.001075804980094096,0.999999999999,,24.153526797352985,,,,,,,,,c60
,,,,,,,,,,0.049041748046875,0.182525634765625,0.7054443359375,,-0.1408179881564789,1,random,random_2,pool_candidate,283.32366943359375,377.9230041503906,322.771484375,544.7126815994199,846.1049022918278,165.07344068660979,0.03905976421067978,0.021270890623238885,,33.529160073322494,,,,,,,,,c60
,,,,,,,,,,0.03973388671875,0.16033935546875,0.646759033203125,,0.010007576296937347,1,random,random_3,pool_candidate,512.1529388427734,221.07565307617188,177.58303833007812,854.1665698026479,313.05591600276205,283.43231396078625,0.019762013521607596,0.06609994609726853,,32.12141517407091,,,,,,,,,c60
,,,,,,,,,,0.041290283203125,0.1563720703125,0.60400390625,,-0.08769823735120853,1,random,random_4,pool_candidate,274.8320617675781,140.0069580078125,480.2012710571289,2993.6327421443084,383.73258225689455,655.8210821581551,0.04512290801063353,0.03769948759229625,,29.690422268724603,,,,,,,,,c60
,,,,,,,,,,0.05023193359375,0.20556640625,0.829345703125,,0.05238644451531929,1,random,random_5,pool_candidate,97.80807495117188,266.0213928222656,529.0020980834961,230.78742782385953,301.1523037979009,341.97391998412553,0.04521938571398287,0.005738534249772049,,42.346778580614966,,,,,,,,,c60
,,,,,,,,,,0.07061767578125,0.245758056640625,0.91387939453125,,-0.37173194825528383,1,random,random_6,pool_candidate,829.2437744140625,369.0786666870117,135.733642578125,273.72979277526224,406.2340275664429,1447.1333980087993,0.14020739001917196,0.009770973754037997,,41.493122851667856,,,,,,,,,c60
,,,,,,,,,,0.037017822265625,0.170166015625,0.723419189453125,,0.2231404711623555,1,random,random_7,pool_candidate,595.051139831543,999.3067321777344,222.8067626953125,367.8669541337668,1066.861183343721,344.4302317741435,0.048576230794049886,0.06843546909292218,,38.61855892577488,,,,,,,,,c60
,,,,,,,,,,0.03057861328125,0.154754638671875,0.6854248046875,,0.3208105127394228,1,random,random_8,pool_candidate,286.4291534423828,369.19876861572266,696.0131225585938,101.80666875789784,975.6020964771756,653.5540125918842,0.07181410826655601,0.03421271977899377,,37.295243891966365,,,,,,,,,c60
,,,,,,,,,,0.0439453125,0.170257568359375,0.66998291015625,,-0.052974583251827106,1,random,random_9,pool_candidate,578.894660949707,229.66384887695312,727.5958862304688,490.62690958878403,156.0405135818698,207.69563102690353,0.08829979752519994,0.1061056188018128,,33.01865692309673,,,,,,,,,c60
,,,,,,,,,,0.03741455078125,0.16802978515625,0.707427978515625,,0.18709054170075262,1,random,random_10,pool_candidate,171.60009765625,356.3079528808594,205.03985595703125,896.7244055153218,491.9303390898194,97.45196055908654,0.05377286863570673,0.04522454044688404,,37.51609432462447,,,,,,,,,c60
,,,,,,,,,,0.041900634765625,0.171112060546875,0.69110107421875,,0.0357931946687745,1,random,random_11,pool_candidate,335.0518798828125,297.7192687988281,521.6616592407227,851.3255513174837,359.16732613502637,349.78728541677754,0.07079922387387531,0.03830289051890747,,34.997949907751,,,,,,,,,c60
,,,,12,,,,,,0.04132080078125,0.141937255859375,0.5125732421875,,-0.2257882853439745,13,bond,bond,scored_pool_selected,1216.7785949707031,1509.9902954101562,483.6933822631836,219.04531010534757,151.74666814352366,913.9568907397353,0.001075804980094096,0.999999999999,,24.153792333499112,,,-12.0764635079418,,,,,,c60
,0.471719215494501,12,,,,,,,0.20726109726452227,0.003692626953125,0.00860595703125,0.022796630859375,,-0.06374096359291863,12,,bond_0_m12_alpha1,penalized_lanczos,858.3951110839844,543.7027816772461,359.7705841064453,322.36321818995873,159.27636885141138,80.3264447360165,0.026474603347478722,0.007355581594153887,1.0,0.4371282774570608,,,,bond,bond_0,35.69042805117441,,,c60
,0.5604155309823452,12,,,,,,,-0.8656143944222007,-0.002197265625,-0.0028076171875,0.001190185546875,,0.06172120725829809,12,,bond_0_m12_alpha5,penalized_lanczos,1658.8997497558594,1385.8359680175781,532.8908157348633,332.4970645355995,169.39470618373355,90.88283696172873,0.020031377552270392,0.004091680993634377,5.0,0.7106703474346674,,,,bond,bond_0,35.69042805117441,,,c60
,0.771424499226461,12,,,,,,,-7.887246912157816,0.008087158203125,0.026947021484375,0.0997314453125,,-0.05992098049978407,12,,bond_0_m12_alpha20,penalized_lanczos,425.22229766845703,190.73992919921875,145.79449462890625,342.65799698346154,193.54744074255365,165.1154954939733,0.00548214676868079,0.0007558365735636902,20.0,4.014476052529679,,,,bond,bond_0,35.69042805117441,,,c60
,0.4358190554489896,12,,,,,,,1.8416547738156301,0.00244140625,0.009918212890625,0.040130615234375,,0.0019629449380705677,12,,bond_1_m12_alpha1,penalized_lanczos,863.3030700683594,703.66064453125,577.2211685180664,338.96529034440425,176.84420567704768,100.30838175690772,0.027182164428485613,0.43581905544855376,1.0,2.0341692796039332,,,,bond,bond_1,24.153526797352985,,,c60
,0.6321161694678816,12,,,,,,,0.6787860263239368,0.0030517578125,0.012847900390625,0.05303955078125,,0.005713508891591018,12,,bond_1_m12_alpha5,penalized_lanczos,1341.2105407714844,1500.7489624023438,1918.4290466308594,343.4662260995152,169.02270216096915,61.64082181653713,0.021051334844206303,0.6321161694672495,5.0,2.6798292966840522,,,,bond,bond_1,24.153526797352985,,,c60
,0.8761405028127129,12,,,,,,,-8.863016682420673,0.009613037109375,0.0361328125,0.1414794921875,,-0.029555435156351534,12,,bond_1_m12_alpha20,penalized_lanczos,1222.436767578125,1120.5409545898438,1094.89208984375,236.59400713606126,107.82291002176322,52.70349391697307,0.003622091996670492,0.8761405028118369,20.0,6.488389376851138,,,,bond,bond_1,24.153526797352985,,,c60
,0.0878565724495496,12,,,,,,,-3.8097042139538475,-0.03857421875,-0.089630126953125,-0.23358154296875,,0.6670002385548353,12,,random_2_m12_alpha1,penalized_lanczos,2254.814422607422,1627.3777770996094,1085.2567749023438,562.4159720535416,446.3188737246264,95.97939752999108,0.8999177869723182,0.023592851463015957,1.0,-3.8043613255987525,,,,random,random_2,33.529160073322494,,,c60
,0.1232384054461274,12,,,,,,,-3.8514809481744425,0.0289306640625,0.051971435546875,0.0948486328125,,-0.6622267732706313,12,,random_2_m12_alpha5,penalized_lanczos,493.5689926147461,447.89414978027344,295.4171447753906,203.55531316156805,73.69543403291001,37.87260318257682,0.893519348607183,0.024715436974549435,5.0,-3.772003467067417,,,,random,random_2,33.529160073322494,,,c60
,0.7736575096777769,12,,,,,,,-7.341481043750925,0.01422119140625,0.04022216796875,0.127532958984375,,-0.16986204026776347,12,,random_2_m12_alpha20,penalized_lanczos,1281.6613159179688,373.4951629638672,129.1187744140625,245.99646330291853,108.931049359053,54.54882864641853,0.2446492436110313,0.022446009715247253,20.0,4.616633574156186,,,,random,random_2,33.529160073322494,,,c60
,0.10420354771947901,12,,,,,,,-1.8613548269189348,-0.028900146484375,-0.06414794921875,-0.15704345703125,,0.5258271902168729,12,,random_3_m12_alpha1,penalized_lanczos,383.4622573852539,1321.6513061523438,380.3005905151367,288.3090461113144,140.42751310901335,92.4845492009573,0.753475153529482,0.04753907549665029,1.0,-1.8487047094690854,,,,random,random_3,32.12141517407091,,,c60
,0.1548506406895379,12,,,,,,,-1.9172428552258916,-0.02838134765625,-0.06280517578125,-0.1533203125,,0.5163896312584202,12,,random_3_m12_alpha5,penalized_lanczos,397.41539764404297,967.3507995605469,601.0954360961914,291.662920908855,143.16397292660994,93.05660223400442,0.7391267420179068,0.04342497558812968,5.0,-1.7952990309788395,,,,random,random_3,32.12141517407091,,,c60
,0.806593059426485,12,,,,,,,-6.584114870750146,0.003936767578125,0.023956298828125,0.11187744140625,,0.0812028838377553,12,,random_3_m12_alpha20,penalized_lanczos,370.47828674316406,322.16998291015625,336.0323944091797,392.9676268902611,257.8953976011144,229.53145727085177,0.13141674506736883,0.036201299835708606,20.0,6.445806867899466,,,,random,random_3,32.12141517407091,,,c60
,0.0772053411621911,12,,,,,,,-4.394199547081985,0.030792236328125,0.054595947265625,0.0968017578125,,-0.7131200751881308,12,,random_4_m12_alpha1,penalized_lanczos,855.0354919433594,398.7665023803711,206.36956787109375,284.1373956244436,160.70480028053373,119.51422591637449,0.9379028118951864,0.009788332614008792,1.0,-4.391384038966515,,,,random,random_4,29.690422268724603,,,c60
,0.10793087657097436,12,,,,,,,-4.444974754256778,0.03076171875,0.054473876953125,0.096343994140625,,-0.711411926050765,12,,random_4_m12_alpha5,penalized_lanczos,932.1217956542969,459.813663482666,219.70974731445312,282.4348119089564,158.8143289848154,117.25790823991306,0.9357871031403343,0.00914693323171883,5.0,-4.390876281392318,,,,random,random_4,29.690422268724603,,,c60
,0.8244875767919073,12,,,,,,,-8.315218115726575,-0.001129150390625,0.010894775390625,0.07391357421875,,0.15420908178849074,12,,random_4_m12_alpha20,penalized_lanczos,451.75445556640625,482.797607421875,247.16415405273438,430.60234966615184,275.90058430314974,203.5517996988364,0.23524585084492836,0.013823795401324833,20.0,5.264164127432801,,,,random,random_4,29.690422268724603,,,c60
,0.0684671747929722,12,,,,,,,-4.66190213325321,0.029296875,0.051513671875,0.09259033203125,,-0.6872187112548235,12,,random_5_m12_alpha1,penalized_lanczos,889.0109252929688,529.0393295288086,597.2195205688477,337.41639249019397,189.023380775474,113.55816887387707,0.9466649834326722,0.03378619257958075,1.0,-4.661607914016547,,,,random,random_5,42.346778580614966,,,c60
,0.08512431581231299,12,,,,,,,-4.671791907812864,-0.04071044921875,-0.0966796875,-0.258880615234375,,0.6855943387333505,12,,random_5_m12_alpha5,penalized_lanczos,1486.7847595214844,1706.5530395507812,1221.64697265625,378.41161248778536,258.3965501933263,207.56350055235154,0.9443357678966346,0.035075530710723085,5.0,-4.638310771331541,,,,random,random_5,42.346778580614966,,,c60
,0.4684309923362841,12,,,,,,,-5.360864198042707,0.027984619140625,0.05621337890625,0.1246337890625,,-0.5749747625484736,12,,random_5_m12_alpha20,penalized_lanczos,561.4768142700195,307.227783203125,176.35781860351562,406.19411008966466,239.26200524242714,91.81553383879039,0.7697542145740549,0.04498536517857719,20.0,-0.9793035420291255,,,,random,random_5,42.346778580614966,,,c60
0.3,0.44871306728007954,12,,,,,,,,0.003448486328125,0.0079345703125,0.02105712890625,0,-0.057644097438320774,24,,bond_0_m12_eta0.3,constrained_ritz,945.6333618164062,626.1937255859375,273.5730743408203,321.659168838265,158.44043421579784,78.7455717242789,0.019887036625141324,0.00832942059246037,,0.4308410613120883,,,,bond,bond_0,35.69042805117441,0,0.423695555241418,c60
0.6,0.44871306728007954,12,,,,,,,,0.00335693359375,0.007904052734375,0.021087646484375,1,-0.05764632315179026,24,,bond_0_m12_eta0.6,constrained_ritz,945.5107727050781,626.1710205078125,273.5762481689453,321.6573019081088,158.4373601646767,78.74835223029694,0.019887036625141324,0.00832942059246037,,0.4308410613120883,,,,bond,bond_0,35.69042805117441,0,0.423695555241418,c60
0.3,0.3888845109139787,12,,,,,,,,0.002655029296875,0.010284423828125,0.041290283203125,0,-0.0019518893392519586,24,,bond_1_m12_eta0.3,constrained_ritz,1486.4967651367188,1757.2937622070312,1804.1376342773438,311.7228831717495,149.1059654492635,70.0726889822115,0.030157071494828956,0.3888845109135897,,2.0099142695396566,,,,bond,bond_1,24.153526797352985,0,2.0023849447785,c60
0.6,0.3888845109139787,12,,,,,,,,0.0025634765625,0.010284423828125,0.04144287109375,1,-0.0019493517430695592,24,,bond_1_m12_eta0.6,constrained_ritz,1486.3147583007812,1757.2129516601562,1804.2649536132812,311.7251839139594,149.10418310468853,70.07725572836283,0.030157071494828956,0.3888845109135897,,2.0099142695396566,,,,bond,bond_1,24.153526797352985,0,2.0023849447785,c60
0.3,0.49404499886818465,12,,,,,,,,0.007476806640625,0.02020263671875,0.061248779296875,0,-0.09843434384950667,24,,random_2_m12_eta0.3,constrained_ritz,713.216552734375,439.2358169555664,390.2036361694336,247.81319311695722,98.7192448251,37.02470058104841,0.1378129749665536,0.03557679723902561,,2.0729001490850902,,,,random,random_2,33.529160073322494,1,2.0753004520165805,c60
0.6,0.08177404391808366,12,,,,,,,,0.02923583984375,0.0526123046875,0.0963134765625,1,-0.6680501590808399,24,,random_2_m12_eta0.6,constrained_ritz,473.5432357788086,460.1880073547363,284.4120788574219,205.4213292291432,75.63971318642737,39.826157999198024,0.9007509620114402,0.024341225175697853,,-3.797107784621941,,,,random,random_2,33.529160073322494,0,-3.811244850625479,c60
0.3,0.4928683940087864,12,,,,,,,,0.010528564453125,0.029388427734375,0.092529296875,0,-0.12562224409130202,24,,random_3_m12_eta0.3,constrained_ritz,1766.8698120117188,872.8238830566406,352.7978057861328,377.4988299065766,217.63333931517485,118.91292071409275,0.21744175432888008,0.03559920949068409,,3.364094538570621,,,,random,random_3,32.12141517407091,1,3.3558186279994344,c60
0.6,0.0965472487969111,12,,,,,,,,-0.02899169921875,-0.064239501953125,-0.157135009765625,1,0.5270944750671671,24,,random_3_m12_eta0.6,constrained_ritz,387.8009948730469,1395.5705261230469,374.8428497314453,290.0423739332942,141.19904357561467,92.61901925324722,0.7540201063038544,0.0480959573753771,,-1.8439902612063677,,,,random,random_3,32.12141517407091,0,-1.847182798088178,c60
0.3,0.5285274532334561,12,,,,,,,,-0.000885009765625,0.004425048828125,0.03363037109375,0,0.0812572710910779,24,,random_4_m12_eta0.3,constrained_ritz,1865.6582641601562,3627.3548278808594,13596.741027832031,422.57207225548234,250.1768719294167,97.7371700111392,0.09588946750324547,0.025998629391935764,,2.4829577737223354,,,,random,random_4,29.690422268724603,1,2.4840567797550546,c60
0.6,0.07190624956674559,12,,,,,,,,0.03082275390625,0.054534912109375,0.09698486328125,1,-0.7136996831102341,24,,random_4_m12_eta0.6,constrained_ritz,855.736572265625,396.3136291503906,208.57281494140625,285.0454264154558,162.27547507670357,121.53386958068108,0.9382927109335151,0.009945861414782148,,-4.392920825002108,,,,random,random_4,29.690422268724603,0,-4.385134215737896,c60
0.3,0.4267026676401874,12,,,,,,,,0.00860595703125,0.02606201171875,0.0882568359375,0,-0.08258974388334686,24,,random_5_m12_eta0.3,constrained_ritz,831.9723510742188,365.5771026611328,346.69788360595703,354.88840622435976,206.572252696357,124.20139057774392,0.10174752948688624,0.04426785390474635,,3.546013568034204,,,,random,random_5,42.346778580614966,1,3.544113899739394,c60
0.6,0.0653304861852178,12,,,,,,,,-0.040863037109375,-0.0968017578125,-0.259002685546875,1,0.6863155021315733,24,,random_5_m12_eta0.6,constrained_ritz,1493.3119506835938,1701.7098083496094,1217.0797119140625,380.3643938951521,259.91574902083295,207.69732607678915,0.9456775647494873,0.03474500358314109,,-4.63879478168025,,,,random,random_5,42.346778580614966,0,-4.639380020458835,c60
,,,500.0,,0,1961.774216038573,-37.273857365031766,0.9997619900265388,,0.04083251953125,0.17510986328125,0.725311279296875,,0.11484999904214103,31,,a500_sample0,reference_dimer,1105.8241271972656,1768.0598754882812,613.5912780761719,714.1961790762417,202.59605481671997,66.1202655164829,0.04777231412322136,0.039921996409604255,,37.25744187719027,,30,,,,,,,c60
